Laurel Crime Reports,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,Classification ,Location ,Summary,,,,,,,,,,
,3/12/22,STOLEN VEHICLE,14700 Blk Baltimore Ave ,A male entered an idling vehicle and fled the scene. ,,,,,,,,,,
,3/13/22,DUI ARREST,800 Blk Fifth St,A male was arrested for driving under the influence. ,,,,,,,,,,
,3/13/22,Citizen Armed Robbery,300 Blk Montrose Ave,The victim was robbed at gunpoint.,,,,,,,,,,
,3/14/22,STOLEN VEHICLE,9100 Blk Elaine Ct,An unknown person entered an idling vehicle and fled the scene.,,,,,,,,,,
,3/14/22,STOLEN VEHRICLE,14200 Blk Summit Ln,The victim reported their vehicle stolen by unknown means. ,,,,,,,,,,
,3/14/22,THEFT REPORT,14700 Blk Baltimore Ave ,A female was observed stealing beauty products.,,,,,,,,,,
,3/14/22,PEDESTRIAN STRUCK ,Summer wind Cir / Old Sandy Spring Rd,A female was transported to the hospital after being struck by a vehicle.,,,,,,,,,,
,3/14/22,STOLEN VEHICLE,14700 Blk Baltimore Ave ,An unknown person entered an idling vehicle and fled the scene.,,,,,,,,,,
,3/16/22,THEFT REPORT,14700 Blk Baltimore Ave ,Two males were observed shoplifting.,,,,,,,,,,
,3/16/22,STOLEN VEHICLE,7800 Blk Contee Rd ,The victim reported their vehicle was stolen by unknown means. ,,,,,,,,,,
,3/17/22,VANDALISM,8300 Blk Ashford Blvd,The windows to the victim's vehicle were shattered.,,,,,,,,,,
,3/17/22,THEFT REPORT,200 Blk Fort Meade Rd ,Two males were observed shoplifting.,,,,,,,,,,
,3/17/22,VANDALISM,7900 Blk Crows Nest Ct ,A window to the victim's vehicle was shattered.,,,,,,,,,,
,3/17/22,ARMED PERSON,800 Blk Second St,A male brandished a knife in a dispute.,,,,,,,,,,
,3/17/22,THEFT FROM AUTO,9100 Blk Scott Adam Ct,A tag was stolen.,,,,,,,,,,
,3/18/22,THEFT REPORT,14600 Blk Baltimore Ave ,A backpack was stolen.,,,,,,,,,,
,3/18/22,THEFT FROM AUTO,800 Blk Gorman Ave ,A tag was stolen.,,,,,,,,,,
,3/19/22,DUI ARREST,Baltimore Ave Sb / Cherry Ln,A female was arrested for driving under the influence.,,,,,,,,,,
,3/19/22,THEFT FROM AUTO,500 Blk Main St,A tag was stolen.,,,,,,,,,,
,3/19/22,THEFT REPORT,900 Blk Fourth St,Three individuals were observed shoplifting.,,,,,,,,,,
,3/19/22,THEFT REPORT,14500 Blk Baltimore Ave,A male refused to pay for services.,,,,,,,,,,
,3/20/22,DUI  ARREST,14400 Blk Laurel Pl,A female was arrested for driving under the influence.,,,,,,,,,,
,3/20/22,Attempted Burglary,1 Blk Second St,A male was observed checking hotel room doors. ,,,,,,,,,,
,3/20/22,STOLEN VEHICLE,1 Blk Second St ,The victim reported their vehicle was stolen by unknown means. ,,,,,,,,,,
,3/20/22,PROPERTY DAMAGE,Sandy Spring Rd Wb / Van Dusen Rd,A vehicle damaged a red light camera. ,,,,,,,,,,
,3/21/22,THEFT FROM AUTO,400 Blk Montgomery St,A tag was stolen.,,,,,,,,,,
,3/21/22,THEFT REPORT,100 Blk Battle Creek Way,Appliances were stolen.,,,,,,,,,,
,3/21/22,STOLEN VEHICLE,14700 Blk Baltimore Ave Sb ,A male entered an idling vehicle and fled the scene. ,,,,,,,,,,
,2/9/22,THEFT REPORT,6900 Blk Van Dusen Rd,A male was observed stealing food items. ,,,,,,,,,,
,2/9/22,Assault,8500 Blk Cherry Ln,An employee was stabbed by a shoplifter.,,,,,,,,,,
,2/9/22,Stolen Vehicle,8400 Blk Ashford Blvd,The victim's vehicle was stolen by unknown means.,,,,,,,,,,
,2/9/22,Stolen Vehicle,300 Blk Main St,The victim's vehicle was stolen by unknown means.,,,,,,,,,,
,2/10/22,THEFT REPORT,9100 Blk Elaine Ct,A cellphone was stolen.,,,,,,,,,,
,2/10/22,THEFT FROM AUTO,13600 Blk Baltimore Ave ,The driver's side window was shattered and a laptop was stolen.,,,,,,,,,,
,2/10/22,Non Contact Shooting,100 Blk Washington Blvd,Officers responded for a sound of shots and discovered a vehicle had been struck a few times; There were no injuries.,,,,,,,,,,
,2/10/22,THEFT FROM AUTO,14600 Blk Baltimore Ave ,The drivers side window was shattered and a purse was stolen. ,,,,,,,,,,
,2/11/22,THEFT REPORT,600 Blk Seventh St,Three juveniles were observed stealing food items and fleeing the scene.,,,,,,,,,,
,2/11/22,ARMED PERSON,300 Blk Domer Ave,A male brandished a knife to a store manager during a dispute; There were no injuries.,,,,,,,,,,
,2/12/22,Shoplifting,400 Blk Sandy Spring Rd,A male was arrested for shoplifting. ,,,,,,,,,,
,2/12/22,THEFT REPORT,300 Blk Montrose Ave,A male stole display phones.,,,,,,,,,,
,2/13/22,Package Theft,14800 Blk First Baptist Ln,A package was stolen.,,,,,,,,,,
,2/13/22,THEFT REPORT,300 Blk Montrose Ave,The victim's bags were stolen from a locker room.,,,,,,,,,,
,2/13/22,Shoplifting,14800 Blk Baltimore Ave ,A male was arrested for shoplifting. ,,,,,,,,,,
,2/13/22,Stolen Vehicle,8300 Blk Ashford Blvd,The victim reported their vehicle was ,,,,,,,,,,
,2/14/22,Stolen Vehicle,14800 Blk Fourth St,An unknown person entered the victim's unattended and running vehicle and fled the scene.,,,,,,,,,,
,2/16/22,Stolen Vehicle,1 Blk Second St ,The victim reported their vehicle was stolen by unknown means.,,,,,,,,,,
,2/16/22,Package Theft,7800 Blk Contee Rd,A package was stolen.,,,,,,,,,,
,2/17/22,Stolen Vehicle,1 Blk Washington Blvd ,A male was observed stealing a vehicle.,,,,,,,,,,
,2/17/22,Attempted Robbery,9600 Blk Fort Meade Rd ,A male attempted to rob an atm technician. ,,,,,,,,,,
,2/18/22,ARMED PERSON,13600 Blk Baltimore Ave ,A firearm was brandished during a dispute.,,,,,,,,,,
,2/18/22,Armed Robbery,1000 Blk Harrison Dr,Several juveniles attacked the victim and took his sweater.,,,,,,,,,,
,2/18/22,THEFT REPORT,300 Blk Montrose Ave,Three males were observed stealing clothes.,,,,,,,,,,
,2/18/22,THEFT REPORT,14200 Blk Baltimore Ave ,Three males shattered the front door and stole several machines.,,,,,,,,,,
,2/19/22,Theft - Shoplifting,14700 Blk Baltimore Ave ,A cellphone was stolen.,,,,,,,,,,
,2/21/22,SHOPLIFTING,1000 Blk Fairlawn Ave,A male was observed stealing food items. ,,,,,,,,,,
,2/21/22,Vandalism,8300 Blk Cherry Ln ,Unknown suspects attempted to break into a business.,,,,,,,,,,
,2/21/22,Shoplifting,14700 Blk Baltimore Ave ,A male was observed shoplifting food items.,,,,,,,,,,
,2/22/22,Stolen Vehicle,14400 Blk West Side Blvd ,The victim reported their vehicle was stolen by unknown means.,,,,,,,,,,
,2/22/22,THEFT REPORT,500 Blk Prince George St,A saw was stolen from the victim's garage.,,,,,,,,,,
,2/22/22,Shoplifting,200 Blk Fort Meade Rd,A male was observed stealing tools.,,,,,,,,,,
,2/22/22,THEFT REPORT,14700 Blk Baltimore Ave ,A female was observed stealing beauty items.,,,,,,,,,,
,2/22/22,ARMED PERSON,14600 Blk Laurel Pl,A fire arm was brandished during a dispute.,,,,,,,,,,
,1/20/22,THEFT REPORT,300 Blk Montrose Ave,A wallet was stolen.,,,,,,,,,,
,1/20/22,Attempted Theft of Auto,8200 Blk Londonderry Ct,A male entered a running and unlocked vehicle and attempted to flee. ,,,,,,,,,,
,1/20/22,THEFT REPORT,300 Blk Domer Ave,The cable lock was broken and a bike was stolen. ,,,,,,,,,,
,1/21/22,STOLEN VEHICLE,14600 Blk Baltimore Ave,A male entered a running and unlocked vehicle and fled the scene. ,,,,,,,,,,
,1/21/22,STOLEN VEHICLE,7700 Blk Cypress St,The victim reported their vehicle was stolen by unknown means. ,,,,,,,,,,
,1/21/22,Stolen Vehicle Tags,14700 Blk Baltimore Ave Nb , A tag was stolen.,,,,,,,,,,
,1/21/22,STOLEN VEHICLE,14700 Blk Baltimore Ave ,A male entered a running and unlocked vehicle and fled the scene. ,,,,,,,,,,
,1/21/22,DUI Arrest,Second St Nb / Main St,A male was arrested for driving under the influence.,,,,,,,,,,
,1/21/22,THEFT REPORT,600 Blk Washington Blvd ,A male was observed stealing food items.,,,,,,,,,,
,1/22/22,DUI Arrest,14800 Blk Baltimore Ave ,A male was arrested for driving under the influence.,,,,,,,,,,
,1/23/22,STOLEN VEHICLE,14700 Blk Fourth St ,A male entered an unlocked and running vehicle and fled the scene. ,,,,,,,,,,
,1/24/22,VANDALISM,14300 Blk Dover Ct,Three males were observed striking a vehicle with a baseball bat. ,,,,,,,,,,
,1/24/22,DUI Arrest,Laurel Bowie Rd Nb / Fort Meade Rd ,A male was arrested for driving under the influence.,,,,,,,,,,
,1/24/22,STOLEN VEHICLE,500 Blk Seventh St,The victim's vehicle was stolen during a transaction. ,,,,,,,,,,
,1/25/22,THEFT FROM AUTO,1 Blk Riverview Ct ,The victim's vehicle was broken into and several items were stolen.,,,,,,,,,,
,1/25/22,THEFT REPORT,9600 Blk Fort Meade Rd ,A wallet was stolen.,,,,,,,,,,
,1/25/22,DUI Arrest,1000 Blk Montrose Ave,A male was arrested for driving under the influence and striking several parked vehicles.,,,,,,,,,,
,1/26/22,VANDALISM,14600 Blk Baltimore Ave,Front windows were shattered.,,,,,,,,,,
,1/26/22,THEFT REPORT,1100 Blk Patuxent Greens ,Construction items were stolen.,,,,,,,,,,
,1/26/22,SHOPLIFTING,15100 Blk Baltimore Ave ,A male was observed stealing items and fleeing the scene.,,,,,,,,,,
,1/26/22,Package Theft,7500 Blk Haines Ct,A package was stolen.,,,,,,,,,,
,1/27/22,STOLEN VEHICLE,800 Blk Fifth St,Silver Nissan Rouge.,,,,,,,,,,
,1/27/22,THEFT REPORT,14700 Blk Baltimore Ave ,Two male shattered displays and stole fragrances. ,,,,,,,,,,
,1/27/22,STOLEN VEHICLEE,700 Nlk Montgomery St,"A male entered an unlocked and running vehicle, then fled the scene. ",,,,,,,,,,
,1/27/22,THEFT/VANDALISM,14700 Blk Baltimore Ave Sb,Two male shattered displays and stole items. ,,,,,,,,,,
,1/29/22,Package Theft,900 Blk Phillip Powers Dr ,A package was stolen.,,,,,,,,,,
,1/30/22,Theft,800 Blk Washington Blvd Sb,The front windows were shattered and an ATM was stolen. ,,,,,,,,,,
,1/30/22,STOLEN VEHICLE,300 Blk Compton Ave,White Ford Van.,,,,,,,,,,
,2/1/22,Vandalism to Auto,7800 Blk Contee Rd ,Several vehicles had their windows shattered.,,,,,,,,,,
,2/4/22,THEFT REPORT,14300 Blk Baltimore Ave,A male was observed stealing home improvement items.,,,,,,,,,,
,2/5/22,Package Theft,800 Blk Fifth St,A package was stolen.,,,,,,,,,,
,2/6/22,DUI Arrest,14800 Blk Baltimore Ave,A male was arrested for driving under the influence.,,,,,,,,,,
,2/6/22,DUI  Arrest,Sandy Spring Rd  / I95 Hwy ,A male was arrested for driving under the influence.,,,,,,,,,,
,2/6/22,THEFT FROM AUTO,Oxford Dr / Ashford Blvd,Power tools were stolen from the victim's vehicle.,,,,,,,,,,
,2/6/22,DUI Arrest,1000 Blk Montrose Ave,A male was arrested for driving under the influence.,,,,,,,,,,
,2/7/22,VANDALISM,900 Blk Main St,A historical marker was vandalized.,,,,,,,,,,
,2/7/22,Stolen Vehicle,800 Blk Fifth St,"An unknown individual entered a unlocked and running vehicle, then fled the scene.",,,,,,,,,,
,2/7/22,THEFT REPORT,15100 Blk Baltimore Ave,A male was observed shoplifting medicine. ,,,,,,,,,,
,2/7/22,THEFT REPORT,15100 Blk Baltimore Ave,Two individuals were observed stealing household items.,,,,,,,,,,
,2/7/22,THEFT REPORT,400 Blk Marshall Ct ,A cellphone was stolen.,,,,,,,,,,
,2/8/22,THEFT FROM AUTO,9400 Blk Nicklaus Ln,The catalytic converter was stolen from the victim's vehicle.,,,,,,,,,,
,2/8/22,THEFT REPORT,900 Blk Fairlawn Ave,Two cellphones were stolen.,,,,,,,,,,
,2/8/22,ARMED CARJACKING,6900 Blk Andersons Way,The victim was robbed of their vehicle at gunpoint. ,,,,,,,,,,
,1/1/22,Non-Contact Shooting,900 Blk Fifth St,An unknown suspect shot into the victim's home causing property damage; There were no injuries. ,,,,,,,,,,
,1/1/22,THEFT REPORT,7600 Blk Carissa Ln,A bike was stolen.,,,,,,,,,,
,1/2/22,Armed Robbery,14600 Blk Laurel Bowie Rd ,An armed male suspect demanded money from the cash register.  ,,,,,,,,,,
,1/3/22,Burglary,14700 Blk Fourth St,The victim's residence was broken into and several electronic items were stolen.,,,,,,,,,,
,1/4/22,THEFT REPORT,800 Blk Fifth St,A wallet was stolen.,,,,,,,,,,
,1/5/22,THEFT REPORT,14700 Blk Baltimore Ave Sb,Two wallets were stolen from purses.,,,,,,,,,,
,1/6/22,THEFT REPORT,14700 Blk Baltimore Ave Sb ,Two males were observed stealing fragrances.,,,,,,,,,,
,1/6/22,THEFT REPORT,14700 Blk Baltimore Ave Sb ,Four individuals were observed stealing baskets of items.,,,,,,,,,,
,1/7/22,THEFT REPORT,300 Blk Montrose Ave,A male stole several clothing items.,,,,,,,,,,
,1/7/22,BREAK IN REPORT,300 Blk Thomas Dr,The front door to the victim's residence was pried open.,,,,,,,,,,
,1/8/22,Stolen Vehicle Tag,9100 Blk Huntington Ct ,The rear tag to the victim's vehicle was stolen.,,,,,,,,,,
,1/8/22,THEFT REPORT,14800 Blk Baltimore Ave Sb,A wallet was stolen.,,,,,,,,,,
,1/8/22,THEFT REPORT,9100 blk Scott Adam Ct,A cellphone was stolen.,,,,,,,,,,
,1/9/22,DUI Arrest,Sandy Spring Rd Wb / Nb I95  ,A male was arrested for driving under the influence.,,,,,,,,,,
,1/9/22,THEFT FROM AUTO,200 Blk Wilson St,A wallet was stolen out of the victim's vehicle.,,,,,,,,,,
,1/9/22,THEFT FROM AUTO,700 Blk Gorman Ave Eb,A male entered the victim's unsecured vehicle and rummaged through it.,,,,,,,,,,
,1/9/22,Stolen Vehicle,14700 Blk Baltimore Ave Sb ,An individual jumped in an idling vehicle and fled the scene.,,,,,,,,,,
,1/10/22,Stolen Vehicle,13900 Blk Shannon Ave,Gray Toyota Highlander.,,,,,,,,,,
,1/10/22,THEFT REPORT,100 Blk Bowie Rd,Groceries were stolen.,,,,,,,,,,
,1/10/22,Theft Report,14300 Blk Baltimore Ave Sb,Electrical items were stolen.,,,,,,,,,,
,1/10/22,Stolen Vehicle,14700 Blk Baltimore Ave Sb,An individual jumped in an idling vehicle and fled the scene.,,,,,,,,,,
,1/10/22,ROBBERY REPORT,9100 Blk Elaine Ct,A male brandished a knife at the victim and demanded their cellphone.,,,,,,,,,,
,1/11/22,Stolen Vehicle,1 Blk A St,An individual jumped in an idling vehicle and fled the scene.,,,,,,,,,,
,1/11/22,THEFT FROM AUTO,400 Blk Gorman Ave Eb,Several car parts were stolen off of the victim's vehicle. ,,,,,,,,,,
,1/11/22,Stolen Vehicle Tag,1 Blk Riverfront Pl ,The rear tag to the victim's vehicle was stolen.,,,,,,,,,,
,1/11/22,Stolen Vehicle Tag,100 Blk Main St,The rear tag to the victim's vehicle was stolen.,,,,,,,,,,
,1/13/22,DUI Arrest,14800 Blk Belle Ami Dr,A male was arrested for driving under the influence.,,,,,,,,,,
,1/13/22,Burglary,900 Blk Main St,The victim's residence was broken into and a laptop was stolen.,,,,,,,,,,
,1/14/22,Theft,900 Blk Nichols Dr,A trashcan was stolen.,,,,,,,,,,
,1/14/22,Theft,14300 Blk Baltimore Ave,A male was observed stealing a cart full of items. ,,,,,,,,,,
,1/14/22,THEFT FROM AUTO,14600 Blk Philip Ct ,The passenger side window was shattered and a parking pass was stolen.,,,,,,,,,,
,1/15/22,Stolen Vehicle,14700 Blk Baltimore Ave ,An unknown person entered an idling vehicle and fled the scene.,,,,,,,,,,
,1/16/22,DUI Arrest,200 Blk Gorman Ave ,A male was arrested for driving under the influence.,,,,,,,,,,
,1/16/22,Theft Report,200 Blk Fort Meade Rd,Two people were observed shoplifting. ,,,,,,,,,,
,1/16/22,Burglary,300 Blk Gorman Ave,A male broke into a vacant home.,,,,,,,,,,
,1/17/22,Stolen Package,8200 Blk Harvest Bend Ln ,A package was stolen.,,,,,,,,,,
,1/18/22,THEFT REPORT,200 Blk Fort Meade Rd,Several tools were stolen.,,,,,,,,,,
,1/18/22,Theft from Auto,100 Blk Sharon Ct ,Stamps and a box cutter were stolen from the victim's vehicle.,,,,,,,,,,
,1/18/22,Theft,200 Blk Fort Meade Rd,A male was observed shoplifting.,,,,,,,,,,
,11/16/21,Armed Robbery,13700 Blk Baltimore Ave ,A male brandished a handgun and demanded money from the employee at the front desk.,,,,,,,,,,
,11/16/21,Handgun Reported Found,100 Blk Bowie Rd,A handgun was found in a donation bin.,,,,,,,,,,
,11/16/21,Theft from Auto,300 Blk Second St ,The catalytic converter was stolen from the victim's vehicle. ,,,,,,,,,,
,11/17/21,Attempted Robbery,600 Blk Seventh St,A male forcibly reached into the register and attempted to take money. ,,,,,,,,,,
,11/17/21,Theft from Auto,14700 Blk Baltimore Ave ,Several parts were stolen from the victim's vehicle. ,,,,,,,,,,
,11/17/21,Theft Report,14100 Blk Baltimore Ave ,A laptop was stolen.,,,,,,,,,,
,11/17/21,Theft Report,800 Blk Fifth St,Unsecured belongings were stolen from the victim's locker.,,,,,,,,,,
,11/17/21,Theft From Auto,14900 Blk Baltimore Ave ,A cellphone was stolen out of the victim's vehicle. ,,,,,,,,,,
,11/18/21,Theft Report,8000 Blk Cherry Ln Wb,A bike was stolen.,,,,,,,,,,
,11/18/21,Theft Report,1100 Blk Montgomery St,A bike was stolen.,,,,,,,,,,
,11/18/21,Theft Report,300 Blk Montrose Ave,Cellphones were stolen.,,,,,,,,,,
,11/18/21,Theft Report,14700 Blk Baltimore Ave ,Cellphones were stolen.,,,,,,,,,,
,11/19/21,Vandalism Arrests,8300 Blk Mulberry St,Three individuals were arrested for vandalizing city property. ,,,,,,,,,,
,11/19/21,Theft Report,100 Blk Second St ,A scanner was stolen.,,,,,,,,,,
,11/20/21,Theft Report,800 Blk Fifth St,A watch was stolen. ,,,,,,,,,,
,11/20/21,DUI Arrest,14800 Blk Baltimore Ave ,A male was arrested for driving under the influence. ,,,,,,,,,,
,11/21/21,Burglary,8300 Blk Ashford Blvd ,The victim's home was burglarized and several items were stolen. ,,,,,,,,,,
,11/24/21,Vandalism Report,7500 Blk South Arbory Ln,The victim's trailer tires were slashed. ,,,,,,,,,,
,11/24/21,Package Theft,9100 Blk Elaine Ct ,A package was stolen.,,,,,,,,,,
,11/25/21,DUI Arrest,8000 Blk Ashford Blvd,A female was arrested for driving under the influence.,,,,,,,,,,
,11/26/21,Theft from Auto,14700 Blk Baltimore Ave Sb,Several items were stolen out  of the victim's vehicle. ,,,,,,,,,,
,11/26/21,Theft,14700 Blk Fourth St,A bag was snatched from the victim.,,,,,,,,,,
,11/27/21,DUI Arrest,1000 Blk Washington Blvd Sb,A male was arrested for driving under the influence.,,,,,,,,,,
,11/27/21,DUI  Arrest,Sandy Spring Rd / Van Dusen Rd Nb,A male was arrested for driving under the influence.,,,,,,,,,,
,11/27/21,Stolen Vehicle,14800 Blk Baltimore Ave Sb,An unknown male entered into an idling vehicle and fled the scene.,,,,,,,,,,
,11/27/21,Theft Report,15100 Blk Baltimore Ave Sb,Groceries were stolen.,,,,,,,,,,
,11/28/21,Theft From Auto,8300 Blk Ashford Blvd ,Cellphones were stolen from the victim's vehicle.,,,,,,,,,,
,11/29/21,Theft From Auto,15100 Blk Baltimore Ave Sb,Electronics were stolen from the victim's vehicle.,,,,,,,,,,
,11/29/21,Theft Report,1 Blk Second St Nb,A wallet was stolen.,,,,,,,,,,
,11/29/21,THEFT REPORT,14700 Blk Baltimore Ave Sb,Clothing was stolen.,,,,,,,,,,
,11/30/21,THEFT REPORT,300 Blk Montrose Ave,Clothing was stolen.,,,,,,,,,,
,11/30/21,THEFT FROM AUTO,9100 Blk Scott Adam Ct,A parking permit was stolen from the victim's vehicle. ,,,,,,,,,,
,12/1/21,Stolen Vehicle,14300 Blk Dover Ct,An unknown male entered into an idling vehicle and fled the scene.,,,,,,,,,,
,12/1/21,Package Theft,14800 Blk Fourth St ,A package was stolen.,,,,,,,,,,
,12/1/21,THEFT REPORT,300 Blk Second St Nb,An individual left without paying for services.,,,,,,,,,,
,12/1/21,THEFT FROM AUTO,900 Blk Washington Blvd Sb,A purse was stolen from the victim's vehicle.,,,,,,,,,,
,12/1/21,THEFT FROM AUTO,100 Blk Bowie Rd,A wallet was stolen from the victim's vehicle.,,,,,,,,,,
,12/1/21,Non-Contact Shooting,300 Blk Domer St,An individual was observed shooting at another vehicle. No injuries were reported. ,,,,,,,,,,
,12/1/21,THEFT REPORT,15100 Blk Baltimore Ave Sb,An individual fled with several items.,,,,,,,,,,
,12/1/21,Package Theft,14000 Blk Oakpointe Dr,A package was stolen.,,,,,,,,,,
,12/2/21,THEFT FROM AUTO,14100 Blk Baltimore Ave Sb,A purse was stolen from the victim's vehicle.,,,,,,,,,,
,12/3/21,THEFT FROM AUTO,300 Blk Second St Nb,A navigation system was stolen out of the victim's vehicle.,,,,,,,,,,
,12/3/21,THEFT REPORT,14200 Blk Baltimore Ave Sb,Two female were observed stealing several items. ,,,,,,,,,,
,12/3/21,Theft,14700 Blk Baltimore Ave Sb,Several beauty items were stolen.,,,,,,,,,,
,12/3/21,Package Theft,14300 Blk Oxford Dr,A package was stolen.,,,,,,,,,,
,12/4/21,DUI Arrest,Laurel Bowie Rd Nb / Morris Dr,A  female was arrested for driving under the influence.,,,,,,,,,,
,12/4/21,VANDALISM REPORT,900 Blk Seventh St,The windows to the victim's vehicle were smashed.,,,,,,,,,,
,12/4/21,Package Theft,15600 Blk Dorset Rd,A package was stolen.,,,,,,,,,,
,11/2/21,THEFT REPORT,14300 Blk Baltimore Ave Sb,Power tools were stolen.,,,,,,,,,,
,11/2/21,THEFT FROM AUTO,100 Blk Woodland Ct ,A handicap placard was stolen from the victim's vehicle.,,,,,,,,,,
,11/2/21,VANDALISM,100 Blk Washington Blvd Sb,A brick was thrown into a window. ,,,,,,,,,,
,11/2/21,PEDESTRIAN STRUCK ,14700 Blk Baltimore Ave Sb,A male was struck by a vehicle and sustained minor injuries.,,,,,,,,,,
,11/2/21,Theft from auto,14100 Blk Baltimore Ave Sb,A cellphone was stolen from the victim's vehicle.,,,,,,,,,,
,11/3/21,THEFT REPORT,9600 Blk Fort Meade Rd Wb,Several packs of cigarettes were stolen.,,,,,,,,,,
,11/3/21,VANDALISM,9100 Blk Scott Adam Ct ,The victim's tires were slashed. ,,,,,,,,,,
,11/4/21,THEFT REPORT,100 Blk Bowie Rd,A purse was stolen out of a shopping cart. ,,,,,,,,,,
,11/4/21,Package Theft,800 Blk Fifth St,A package was stolen.,,,,,,,,,,
,11/5/21,ARMED PERSON,Morris Dr / Laurel Bowie Rd Sb,A male threatened another individual with a knife; no injuries were reported. ,,,,,,,,,,
,11/5/21,THEFT REPORT,14700 Blk Baltimore Ave Sb,Beauty supplies were stolen.,,,,,,,,,,
,11/5/21,THEFT REPORT,900 Blk Fairlawn Ave,Halloween props were stolen.,,,,,,,,,,
,11/5/21,PEDESTRIAN STRUCK,Gorman Ave Eb / Eighth St,A male was struck by a vehicle and transported to the hospital with critical injuries.,,,,,,,,,,
,11/5/21,DUI Arrest,15100 Blk Baltimore Ave ,A male was arrested for driving under the influence. ,,,,,,,,,,
,11/5/21,DUI Arrest,1000 Blk Fourth St,A female was arrested for driving under the influence. ,,,,,,,,,,
,11/7/21,THEFT REPORT,15100 Blk Baltimore Ave ,A Michael Kors Jacket was stolen. ,,,,,,,,,,
,11/7/21,DUI Arrest,800 Blk Gorman Ave Eb,A male was arrested for driving under the influence. ,,,,,,,,,,
,11/7/21,DUI Arrest,7300 Blk Contee Rd,A male was arrested for driving under the influence. ,,,,,,,,,,
,11/7/21,THEFT REPORT,200 Blk Fort Meade Rd Wb,A purse was stolen out of a shopping cart. ,,,,,,,,,,
,11/8/21,THEFT REPORT,14700 Blk Baltimore Ave Sb,Beauty supplies were stolen.,,,,,,,,,,
,11/8/21,THEFT REPORT,14100 Blk Baltimore Ave Sb,A computer was stolen.,,,,,,,,,,
,11/8/21,VANDALISM,14600 Blk Shiloh Ct ,Personal property was vandalized with spray painted. ,,,,,,,,,,
,11/8/21,THEFT REPORT,800 Blk Fifth St,A cellphone was stolen.,,,,,,,,,,
,11/8/21,THEFT FROM AUTO,1 Blk Main St,A catalytic converter was stolen from the victim's vehicle.,,,,,,,,,,
,11/9/21,Stolen Vehicle Tags,1200 Blk Marton St,Both tags were stolen off of the victim's vehicle. ,,,,,,,,,,
,11/9/21,VANDALISM,9100 Blk Elaine Ct ,Both windshields were shattered on the victim's vehicle. ,,,,,,,,,,
,11/9/21,RECOVERED CONTROLLED SUBSTANCES,Montrose Ave / Seventh St,Controlled substances were recovered during a traffic stop.,,,,,,,,,,
,11/10/21,THEFT REPORT,9600 Blk Fort Meade Rd Wb,Packets of cigarettes were stolen.,,,,,,,,,,
,11/10/21,Attempted Theft from Auto,7100 Blk Split Rail Ln,A male was observed attempting to break into vehicles. ,,,,,,,,,,
,11/10/21,THEFT REPORT,14700 Blk Baltimore Ave Sb,Clothing was stolen.,,,,,,,,,,
,11/10/21,Recovered Firearm,Montrose Ave / Fifth St,A firearm was recovered during a traffic stop.,,,,,,,,,,
,11/11/21,THEFT FROM AUTO,8300 Blk Ashford Blvd,All four tires were stolen from the victim's vehicle.,,,,,,,,,,
,11/11/21,RECOVERED CONTROLLED SUBSTANCES,Ashford Blvd / Ashford Pl,Controlled substances were recovered during a traffic stop.,,,,,,,,,,
,11/12/21,DUI Arrest,Cherry Ln Wb / Laurel Pl,A male was arrested for driving under the influence. ,,,,,,,,,,
,11/12/21,THEFT REPORT,15100 Blk Baltimore Ave Sb,A wallet was stolen. ,,,,,,,,,,
,11/12/21,Theft From Auto,16000 Blk Dorset Rd,A male was observed breaking into vehicles. ,,,,,,,,,,
,11/12/21,Theft Report,1100 Blk Patuxent Greens Dr,Shutters were stolen.,,,,,,,,,,
,11/13/21,THEFT REPORT,9600 Blk Fort Meade Rd Wb,Packets of cigarettes were stolen.,,,,,,,,,,
,11/13/21,THEFT FROM AUTO,1100 Blk Twelfth St,Several items were stolen from the victim's vehicle.,,,,,,,,,,
,11/13/21,Stolen Vehicle Tags,14800 Blk Baltimore Ave Sb,A tag was stolen from the victim's vehicle. ,,,,,,,,,,
,11/13/21,Attempted Theft From Auto,15400 Blk Laurelton Dr,A male attempted to break into a vehicle. ,,,,,,,,,,
,11/13/21,THEFT REPORT,6900 Blk Andersons Way ,Money was stolen from a home. ,,,,,,,,,,
,11/13/21,Theft from Auto,1100 Blk Montrose Ave,A male was observed breaking into vehicles. ,,,,,,,,,,
,11/13/21,Stolen Vehicle Tags,14900 Blk Belle Ami Dr,Burgundy Honda CRV.,,,,,,,,,,
,11/14/21,THEFT REPORT,800 Blk Eighth St ,A cellphone was stolen.,,,,,,,,,,
,11/14/21,THEFT REPORT,14700 Blk Baltimore Ave Sb,Four individuals were observed stealing beauty supplies. ,,,,,,,,,,
,10/14/21,Burglary,13900 Blk Baltimore Ave Sb,A business was broken into and electronics were stolen. ,,,,,,,,,,
,10/14/21,THEFT REPORT,1000 Blk Washington Blvd Sb,Money was stolen.,,,,,,,,,,
,10/15/21,THEFT REPORT,14700 Blk Baltimore Ave Sb,Several females were observed stealing clothing items.,,,,,,,,,,
,10/16/21,DUI Arrest,14000 Blk Baltimore Ave Sb,A male was arrested for driving under the influence.,,,,,,,,,,
,10/16/21,THEFT REPORT,9600 Blk Fort Meade Rd Wb,A phone and keys were stolen out of a locker.,,,,,,,,,,
